x        y        hdg      vel      acc      steer    lat_err  lng_err  hdg_err  
47.40    0.000    0.000    3.000    2.000    -0.000   0.000    52.90    0.000    
47.70    0.000    0.000    3.000    2.000    -0.000   0.000    52.60    0.000    
48.00    0.000    0.000    3.000    2.000    -0.000   0.000    52.30    0.000    
48.30    0.000    0.000    3.000    2.000    -0.000   0.000    52.00    0.000    
48.60    0.000    0.000    3.000    2.000    -0.000   0.000    51.70    0.000    
48.90    0.000    0.000    3.000    2.000    -0.000   0.000    51.40    0.000    
49.20    0.000    0.000    3.000    2.000    -0.000   0.000    51.10    0.000    
49.50    0.000    0.000    3.000    2.000    -0.000   0.000    50.80    0.000    
49.80    0.000    0.000    3.000    2.000    -0.000   0.000    50.50    0.000    
50.10    0.000    0.000    3.000    2.000    -0.000   0.000    50.20    0.000    
50.40    0.000    0.000    3.000    2.000    -0.000   0.000    49.90    0.000    
50.70    0.000    0.000    3.000    2.000    -0.000   0.000    49.60    0.000    
51.00    0.000    0.000    3.000    2.000    -0.000   0.000    49.30    0.000    
51.30    0.000    0.000    3.000    2.000    -0.000   0.000    49.00    0.000    
51.60    0.000    0.000    3.000    2.000    -0.000   0.000    48.70    0.000    
51.90    0.000    0.000    3.000    2.000    -0.000   0.000    48.40    0.000    
52.20    0.000    0.000    3.000    2.000    -0.000   0.000    48.10    0.000    
52.50    0.000    0.000    3.000    2.000    -0.000   0.000    47.80    0.000    
52.80    0.000    0.000    3.000    2.000    -0.000   0.000    47.50    0.000    
53.10    0.000    0.000    3.000    2.000    -0.000   0.000    47.20    0.000    
53.40    0.000    0.000    3.000    2.000    -0.000   0.000    46.90    0.000    
53.70    0.000    0.000    3.000    2.000    -0.000   0.000    46.60    0.000    
54.00    0.000    0.000    3.000    2.000    -0.000   0.000    46.30    0.000    
54.30    0.000    0.000    3.000    2.000    -0.000   0.000    46.00    0.000    
54.60    0.000    0.000    3.000    2.000    -0.000   0.000    45.70    0.000    
54.90    0.000    0.000    3.000    2.000    -0.000   0.000    45.40    0.000    
55.20    0.000    0.000    3.000    2.000    -0.000   0.000    45.10    0.000    
55.50    0.000    0.000    3.000    2.000    -0.000   0.000    44.80    0.000    
55.80    0.000    0.000    3.000    2.000    -0.000   0.000    44.50    0.000    
56.10    0.000    0.000    3.000    2.000    -0.000   0.000    44.20    0.000    
56.40    0.000    0.000    3.000    2.000    -0.000   0.000    43.90    0.000    
56.70    0.000    0.000    3.000    2.000    -0.000   0.000    43.60    0.000    
57.00    0.000    0.000    3.000    2.000    -0.000   0.000    43.30    0.000    
57.30    0.000    0.000    3.000    2.000    -0.000   0.000    43.00    0.000    
57.60    0.000    0.000    3.000    2.000    -0.000   0.000    42.70    0.000    
57.90    0.000    0.000    3.000    2.000    -0.000   0.000    42.40    0.000    
58.20    0.000    0.000    3.000    2.000    -0.000   0.000    42.10    0.000    
58.50    0.000    0.000    3.000    2.000    -0.000   0.000    41.80    0.000    
58.80    0.000    0.000    3.000    2.000    -0.000   0.000    41.50    0.000    
59.10    0.000    0.000    3.000    2.000    -0.000   0.000    41.20    0.000    
59.40    0.000    0.000    3.000    2.000    -0.000   0.000    40.90    0.000    
59.70    0.000    0.000    3.000    2.000    -0.000   0.000    40.60    0.000    
60.00    0.000    0.000    3.000    2.000    -0.000   0.000    40.30    0.000    
60.30    0.000    0.000    3.000    2.000    -0.000   0.000    40.00    0.000    
60.60    0.000    0.000    3.000    2.000    -0.000   0.000    39.70    0.000    
60.90    0.000    0.000    3.000    2.000    -0.000   0.000    39.40    0.000    
61.20    0.000    0.000    3.000    2.000    -0.000   0.000    39.10    0.000    
61.50    0.000    0.000    3.000    2.000    -0.000   0.000    38.80    0.000    
61.80    0.000    0.000    3.000    2.000    -0.000   0.000    38.50    0.000    
62.10    0.000    0.000    3.000    2.000    -0.000   0.000    38.20    0.000    
62.40    0.000    0.000    3.000    2.000    -0.000   0.000    37.90    0.000    
62.70    0.000    0.000    3.000    2.000    -0.000   0.000    37.60    0.000    
